2023-11-01T10:52:46.487Z	INFO	controller	Starting Controller	{"commit": "322822a", "controller": "lease.garbagecollection", "controllerGroup": "coordination.k8s.io", "controllerKind": "Lease"}
2023-11-01T10:52:46.534Z	DEBUG	controller	hydrated launch template cache	{"commit": "322822a", "tag-key": "karpenter.k8s.aws/cluster", "tag-value": "i765006-test-1", "count": 0}
2023-11-01T10:52:46.587Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "machine-state", "controllerGroup": "karpenter.sh", "controllerKind": "Machine", "worker count": 10}
2023-11-01T10:52:46.587Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "node_state", "controllerGroup": "", "controllerKind": "Node", "worker count": 10}
2023-11-01T10:52:46.587Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "pod_metrics", "controllerGroup": "", "controllerKind": "Pod", "worker count": 1}
2023-11-01T10:52:46.588Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "counter", "controllerGroup": "karpenter.sh", "controllerKind": "Provisioner", "worker count": 10}
2023-11-01T10:52:46.588Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "lease.garbagecollection", "controllerGroup": "coordination.k8s.io", "controllerKind": "Lease", "worker count": 10}
2023-11-01T10:52:46.588Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "termination", "controllerGroup": "", "controllerKind": "Node", "worker count": 100}
2023-11-01T10:52:46.587Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "machine.termination", "controllerGroup": "karpenter.sh", "controllerKind": "Machine", "worker count": 100}
2023-11-01T10:52:46.588Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "provisioner_metrics", "controllerGroup": "karpenter.sh", "controllerKind": "Provisioner", "worker count": 1}
2023-11-01T10:52:46.588Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "provisioner_state", "controllerGroup": "karpenter.sh", "controllerKind": "Provisioner", "worker count": 10}
2023-11-01T10:52:46.588Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "machine.lifecycle", "controllerGroup": "karpenter.sh", "controllerKind": "Machine", "worker count": 1000}
2023-11-01T10:52:46.588Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "daemonset", "controllerGroup": "apps", "controllerKind": "DaemonSet", "worker count": 10}
2023-11-01T10:52:46.588Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "consistency", "controllerGroup": "karpenter.sh", "controllerKind": "Machine", "worker count": 10}
2023-11-01T10:52:46.588Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "machine.disruption", "controllerGroup": "karpenter.sh", "controllerKind": "Machine", "worker count": 10}
2023-11-01T10:52:46.588Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "provisioner.hash", "controllerGroup": "karpenter.sh", "controllerKind": "Provisioner", "worker count": 10}
2023-11-01T10:52:46.588Z	INFO	controller	Starting workers	{"commit": "322822a", "controller": "awsnodetemplate", "controllerGroup": "karpenter.k8s.aws", "controllerKind": "AWSNodeTemplate", "worker count": 10}
2023-11-01T10:52:46.657Z	DEBUG	controller.awsnodetemplate	discovered subnets	{"commit": "322822a", "awsnodetemplate": "default", "subnets": ["subnet-02522ca73ffd5c944 (eu-west-1b)", "subnet-0f364b0d391d7c8ab (eu-west-1a)"]}
2023-11-01T10:52:46.748Z	DEBUG	controller.awsnodetemplate	discovered security groups	{"commit": "322822a", "awsnodetemplate": "default", "security-groups": ["sg-01db066b3ee425831"]}
2023-11-01T10:52:46.750Z	DEBUG	controller.awsnodetemplate	discovered kubernetes version	{"commit": "322822a", "awsnodetemplate": "default", "version": "1.25"}
2023-11-01T10:52:46.779Z	DEBUG	controller.pricing	updated spot pricing with instance types and offerings	{"commit": "322822a", "instance-type-count": 730, "offering-count": 2140}
2023-11-01T10:52:46.907Z	DEBUG	controller.awsnodetemplate	discovered amis	{"commit": "322822a", "awsnodetemplate": "default", "ids": "ami-00e89ffe1870ce7ee, ami-055d9590bfc2c9540, ami-055d9590bfc2c9540, ami-08864f220126b8059", "count": 4}
